,구분,제조사,제조국,표준 장치명,세부 장치명,모델명,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,KC 인증여부,동물용 의료기기 허가,특혀번호,주요기능,전송 구성도,사업 분야,농장명/업체명,농장주,모델명,수 량,계약 금액,사업 년도,판매 형태
10,시설원예,(주)나래트랜드,대한민국,환경제어기,환경제어기,반딧불이-복합환경제어시스템,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"1. 생육환경에 최적화한 지능형 복합제어 알고리즘 적용
2. 개도율에 따른 정밀제어가능 및 스마트 알고리즘 적용
3. 천창, 측창, 커튼, 측커튼 및 난방, CO2 공급 자동제어
4. 작동시간, 내.외부환경 등 다양한 조건별 다중제어 설정
5. 스마트폰/PC 단말기 제약없이 동일한 웹기반 관제 가능",클라우드,-,-,-,-,-,-,-,-
11,시설원예,농업회사법인 주식회사 그린첨단과학온실,한국,환경제어기,환경제어기,GODS-5000,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1. 수동제어
- 컨트롤박스에서 사용자가 시설의 개폐기를 조작할 수 있음(AC/DC 개폐모터 및 유동팬/환풍기, 관수모터/전자밸브)
2. 자동제어
- 사용자가 사전에 지정해 둔 설정값을 기초로 각종 센서와 타이머를 통한 시설의 개폐기 및 기기들을 자동을 통제함
- 우적센서, 온도센서, 타이머 설치가 필요함
3. 원격제어
- 사용자가 원격지에서 스마트폰에 접속(전용어플 접속)하여 온실의 상황을 실시간으로 모니터링 할 수 있음
- 전용어플을 통한 시설의 개폐기 및 기기들을 직접 통제가능함
- 별도 온도센서와 강우센서, CCTV를 옵션으로 설치하고 있음",클라우드,-,-,-,-,-,-,-,-
12,"시설원예, 축산",주식회사 큐빅스,대한민국,환경제어기,환경제어기,QSM,O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"센서기기에서 측정한 센서데이터(온습도, 조도, CO2, 유량, 화재감지, 출입문개폐감지, 수위감지, 누수감지 등)를  wifi공유기(또는 LTE, 유선랜, LoRa게이트웨이)를 통하여 농가내부 서버나 제조사 클라우드서버로 전송하여 데이터를 적재합니다.
서버에 적재된 데이터는 별도 프로그램 없이 웹브라우저(크롬 또는 엣지 등)를 이용하여 언제 어디서든 스마트폰이나 PC에서 조회 가능합니다.
센서 데이터가 설정 범위를 벗어나거나 통신/전원 이상시 SMS 알림 문자를 자동 발송합니다.",자체서버,-,-,-,-,-,-,-,-
13,"시설원예, 축산",케이앤디글로벌,국산,환경제어기,환경제어기,i-1100,O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"1. 원예.축산농가 에서 여러 장치들을 원격으로 환경정보를 수집
2. 원예.축산농가 에서 쓰이는 여러 장치들을 연결하여  원격으로 제어
3. 원예.축산농가 에서 쓰이는 장치들과 통신하여 상태정보 수집
4. 원예.축산농가 에서 쓰이는 장치들의 고장 진단 여부 파악
5. 원예.축산농가 에서 외부에서 PC나 휴대폰에서 웹을 통해 장치들 상태를 볼수 있다.
6. 원예.축산농가 에서 수집된 정보들을 저장 REPORT하는 기능",클라우드,-,-,-,-,-,-,-,-
14,"시설원예, 축산",주식회사 대단,대한민국,환경제어기,환경제어기,TCZ41,O,O,O,X,O,O,O,X,X,O,X,미인증,해당없음,,"IoT 무선 온도제어기는 쇼케이스와 저온 저장고의 유니트쿨러 제어와 관리를 위해 개발 되었으며, 손 쉬운 설정, 간편한 설치, 편리한 연결, 다양한 네트워크 지원 등으로 대단이 제공하는 최고의 기술을 대표하는 제품입니다. IoT 무선 온도제어기 1개의 제품으로 네트워크 연결만으로 언제 어디서나 스마트폰 or 태블릿 등에서 원격제어가 가능한 제품. 또한 긴급 상황 발생 시 실시간 SMS 서비스가 가능한 게 특징.",클라우드,-,-,-,-,-,-,-,-
15,시설원예,(주)팜패스,대한민국,환경제어기,환경제어기,팜내비,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"* 연동, 단동 시설하우스 및 첨단온실 온습도 조절 자동 개폐제어
* 유동팬, 환기팬, 난방기 등 주변기기 온오프 자동제어
* 12구역 관수 자동제어(스케줄제어 및 2모터 지원)
* 양액기 스마트폰 연동 제어
* 터치스크린 기반 자동제어, 스마트폰 원격모니터링 및 제어
* 클라우드 센서정보, 작동, 에러정보 등 기록 및 조회",자체서버,-,-,-,-,-,-,-,-
16,"시설원예, 축산",(주)규원테크,대한민국,기타,,Biomass-Boiler(2Mth),O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"1. 국내 최로 무빙스토커식 버너(특허인증)로 자동적으로 BOTTOM ASH 처리 가능한 버너, 다양한 연료 연소 가능
2. 연소로가 스팀발생부와 별도, 연소실에서 발생된 ASH가 자동처리, 연소실내벽이 고온 케스타블 또는 벽돌로 구성
3. 외부는 습식물자켓으로 되어있어 효율이 높음
4. HI-TAB, FGR 연소기술 적용 
5. 전자동 O2 비례제어시스템
6. 자동청소장치 및 화염감지장치 구비로 자동으로 운전가능
7. ICT 컨트롤보드 장착하여 시설 및 축산농가의 환경정보(온습도, 암모니아, tVOC 등) 수집, 
   전류감지 센서로 화재예방 및 고장진단, Relay On/Off 제어 설비 연동, 실시간 PC 및 모바일 웹 모니터링",클라우드,-,-,-,-,-,-,-,-
17,시설원예,그린씨에스(주),대한민국,양액기,양액기,MAGMA1000V20,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,10-2079294,"본 시스템은 양액시스템 구축으로 관수 및 액비를 공급하며 작물의 최적생육 환경을 조성하고 데이터를 저장하여 재배자가 원하는 온실 환경을 제공하는 시스템
- 순환식 수경재배에 있어서 온실에서 배출되는 배액을 3way 밸브를 통해 원수와 함께 공급할 때 다양한 종류의 배액을 각각 조절할 수 있는 배액 재활용 컨트롤러와 연동 가능
- 관수 시작시간을 일출전후, 고정시간에 의해 설정 가능(매일변화되는 일출시간에 따라 관수시작시간이 자동변경)
- 각 주기별로 누적일사량에 의한 관수, 최대, 최소 대기시간 등을 설정 값을 달리하여 근권부의 수분과 양분의 균형을 최적으로 조절 가능
- 1회 관수량을 시간에 의한 구역별, 드리퍼 등의 공급량을 선택하여 설정 가능
- 2개 이상의 그룹을 각각 설정하여 관수 구역별로 사용 가능
- 구역별 관수량을 시간, 공급량을 복수로 설정하여 관수량 결정
- EC/pH 상한, 하한 기준을 정하고, 센서 오작동시 비례제어 설정 값으로 양액 공급 가능
- 공급된 관수량, EC, pH 센싱값, 횟수, 시간 등의 데이터 저장 및 출력 가능
- 온실복합환경제어기와의 연계를 통하여 일사 센서값을 공유하며, PC 제어가 가능함
- 전일 누적 일사량에 의해 양액탱크 선택이 가능",농가PC,-,-,-,-,-,-,-,-
18,시설원예,그린씨에스(주),대한민국,환경제어기,환경제어기,MAGMAPLUS-1000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,10-0908027,"- 지상부 환경관리 : 복합센서를 이용한 지상부 환경관리 구동기 자동제어
   - 근권부 환경관리 : 실시간 근권부 환경센싱을 통한 정밀양액공급 및 배액재활용을 통한 순환식 수경재배기술 실현
   - 환경 및 구동기정보 모니터링 : 희망하는 기간 동안의 구동기의 개폐, 공급, 동작 양, 횟수 등과 근권부, 지상부, 외부기상센싱 값 상태 모니터링 및 분석
   - 농작물 환경맞춤 자동온실관리 : 
·ICT기술을 활용한 온실운용S/W를 PC, 모바일을 통한 실시간 제어 및 모니터링
·최소 1구역에서 최대 10구역까지 온실상태를 하나의 프로그램으로 각각 개별설정 관리
·환기, 난방온도에 대하여 24기준 예측 시뮬레이션을 통한 정밀환경관리",자체서버,-,-,-,-,-,-,-,-
19,시설원예,(주)우성하이텍,대한민국,환경제어기,환경제어기,FS-50,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,제 10-1566445 호 (복합환경 제어시스템 및 그의 제어방법),"정밀 환경제어 , PC ,모바일 원격제어, 실시간 영상확인, 데이터 저장 및 활용, 비상시 SMS 통보, 농장상태 원격 조회,
자사 양액공급기 연동",자체서버,-,-,-,-,-,-,-,-
20,"시설원예, 축산",주식회사 디오비에스,대한민국,환경제어기,환경제어기,RF-4528PL,O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"비닐하우스, 유리온실, 축사 등에 ICT를 접목하여 원격 및 자동으로 작물과 가축의 생육 환경을 적정하게 유지·관리할 수 있는 농장 제어기이다.
어떤 농장이나 필요로 하는 인디케이터가 포함된 온도센서, 비닐 개폐기, 관수 펌프, 순환팬 제어 모듈이 기본으로 탑재되어 있다. 브리지 모듈 또한 기본으로 탑재되어 향후 농장 제어기구 증설 시 도움이 될 수 있다.
현장에서는 전면 디스플레이부를 통해서 확인하고 스위치 조작을 통해 제어기구에 명령을 내릴 수 있고, 원격지에서는 스마트폰 앱으로 동작상황 확인 및 동작 명령을 내릴 수 있다.
앱 설정을 통해 자동 동작 조건 설정 및 각종 알람 설정이 가능하다.",클라우드,-,-,-,-,-,-,-,-
21,시설원예,맘꽃가든,대한민국,환경제어기,환경제어기,SLOWER-1,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,10-2272472,"상용화된 저비용 마이크로 칩셋 기반으로 하드웨어 구성 비용은 최소화하며 웹/앱 기반의클라우드 서버 환경에서 농장별 구동기/센서 등록, 관리 가능한 스마트 온실 운영 플랫폼 제공하고 있습니다. 기존 고비용 독립 수동형 스마트팜의 문제점을 개선하기 위해 경제성 있는 MCU 통합 네트워크 시스템을 적용하였으며 개별농장의 생육 대상, 센서, 장치 정보를 등록, 사용, 관리하고, 스마트팜 운영, 기능 개선, 장애 확인 기능 등이 제공됩니다. 또한 클라우드 서버 기반 스마트팜 장치/센서 운영 기술 적용하여 등록된 모든 스마트팜 온실 정보 조회가 가능해서 빅데이터 기반 통합 제어/모니터링 기능을 구현하였습니다.",클라우드,-,-,-,-,-,-,-,-
22,시설원예,주식회사 우주,대한민국,환경제어기,환경제어기,SUN-V02,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"본 장비는 단동형 온실 제어 특성에 맞게 개발된 장비로 각 동별 개별 온도제어가 가능하고, 때에 따라서 동별 온도센서를 좌,우 각각 두어 좌,우측 개폐기가 각각 온도에 맞게 제어를 할 수도 있으며, 동별 습도제어, CO2제어, 배기휀제어, 유동휀제어, 냉난방제어, 보광등제어, 관수제어, 포그제어 등 다양한 제어 기능을 가지고 있음.",클라우드,-,-,-,-,-,-,-,-
23,시설원예,(주)청오엔지니어링,한국,환경제어기,환경제어기,COFF-3000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"-소프트웨어기능:청오엔지니어링ICT는 온실 작물재배에 필요한 전용 소프트웨어를 통하여 시설원예 재배환경을 작물별로 관리하는 시스템
-환경제어장치:제어장치로는(천창,측창,보온덮개 등의 DC,AC를 사용하는 종역 개폐장치 동작 및 유동휀제어. 모든장치는 각각의 현재 센서값과 설정값을 설정하여 평균값 또는 시간을 지정하여 관리할수 있음.
-환경센서:풍향센서,풍속센서,외부내부일사센서,강우센서,온습도센서(외부:반도체타입,내부:건습구형)
-ICT복합환경제어 데이터:시간별,작동상태별 센서값 및 제어장치 상태값을 서버에 저장하고 관리 데이터를 로컬에도 저장
-스마트폰 원격제어 및 모니터링 기능:전용 스마트폰앱을 사용하여 젠세계 어느곳에서나 내 온실에 접속하여 온실상태를 모니터링하고 설정변경 및 원격제어가 가능
-전용 온실프로그램(서버)을 채택하여 고 신뢰성 제어실현
-문자메세지 및 스마트폰 팝업 알림기능:시스템 운전중 중대 결함 및 장애 발생시 문자 또는 팝업으로 스마트폰 또는 휴대폰으로 알람내용을 바로 확인 할 수 있도록 전송하여 신속한 대처가 가능",클라우드,-,-,-,-,-,-,-,-
24,"시설원예, 축산",(주)이화글로벌,대한민국,냉방기,냉방기,CPV-Q2906KX,O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"정격 능력 냉방 29KW, 난방 33KW, 소비전력 냉방 10.2 KW, 난방 10.3KW, 소비전류 냉방 16A, 난방 16.5A, 
제품 사이즈 실내기 1,100 X 1,850 X 470 / 실외기 1,120 X 1,558 X 400
제품 중량 실내기 145, 실외기 147
모바일, PC 원격제어 가능",자체서버,-,-,-,-,-,-,-,-
25,"시설원예, 축산",주식회사 팀스페이스팜,대한민국,환경제어기,환경제어기,SS-22-B,O,O,O,O,O,O,O,O,O,O,O,미인증,해당없음,,"1) 통합 환경센서를 통해 온도, 습도, 광량, CO2 정보를 동시 측정 합니다.(최대 1분 간격)
2) 5MP 고화질 카메라를 이용하여 생육정보 및 작물 사진을 기록 합니다. (최대 1시간 간격)
3) 첨단 SBC(Single-Board-Computer)를 이용하여 별도의 장치 없이 데이터를 수집/처리/전송
4) 통합된 TPU(Tensorflow Process Unit)를 통해 독립적 기계학습 인공지능 모델 서비스 제공
5) 무제한 데이터 저장 및 로그가 가능한 빅데이터 플랫폼 제공(플랫폼 이용료 별도)
6) 빅데이터에 통합되어 데이터 분석 / 데이터 과학, 인공지능 기계학습 모델 개발 플랫폼 제공
7) 간편한 설치 및 자가 수리 가능한 모듈형 구조",클라우드,-,-,-,-,-,-,-,-
26,"시설원예, 축산",농부이야기,한국,환경제어기,환경제어기,K1-SF,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,,"*농부이야기의 제이왓 스마트팜 기능 설명* 
제어보드 10개의 제어버튼,  온습도계or온도계 최대 5개 설치,  보드추가가능합니다. 
스마트폰에서 현재 하우스 내부의  온도및 습도값을 확인할 수 있습니다. 

온도값이 저장이 되어  1시간동안의 평균온도가 기록이 되어 밤온도 및 낮 온도값을  확인할 수 있습니다. 

[알림기능] 
고온값을 설정하여 설정값보다 현재온도가 높으면 알림이와서 알려줍니다. 
저온값을 설정하여 설정값보다 현재온도가 낮으면 알림이와서 알려줍니다. 
비가올경우 알림이 옵니다. 
정전일 경우 알림이 옵니다. 
침입감지센서및 저수위센서, 압력센서등을 연결가능 합니다. 
양수기및 지하수 동작시 알림기능(오작동으로 인한 확인 알림) 

[관수기능] 
전자밸브를 설치하여 원격에서 원하는 곳에 물을 줄수 있습니다. 
시간설정이 가능해서 원하는 시간만큼 줄수도 있고 스케줄기능도 있어서 원하는 요일및 시간에 원하는 시간만큼 물을 줄수 있습니다. 

[디지털유량계] 
현재 주고있는 관수량을 실시간으로 확인가능하고 한시간에 얼마의 물이 주어졌는지 확인이 가능합니다. 
예를들어 A동에 2시간을 줬으면 두시간에 얼마의 물이 관수되었는지 확인이 가능합니다. 
일별로 관수량이 기록이되서 통계에서 월별로 얼마의 물이 주어졌는지도 알수 있습니다. 

[저수위 센서] 
물탱크에 물이 없으면 알림이 와서 물이 없음을 확인가능합니다. 
그리고 함을 개조하여 저수위시 자동으로 모터가 멈추도록 할수도 있습니다. 

[수위조절기 기능] 
수위조절기를 설치하면 자동으로 물이 없으면 받아지고 물이 차면 자동으로 정지됩니다. 항상 원하는 높이까지 수위조절이 가능합니다. 
그리고, 여기에 디지털유량계 설치시 원하는 물의 양을 정하면 물통에 물이없으면 모터가 정지하다가 물이 차면 다시 가동하여 원하는 
양만큼 줘서 꺼지는 기능도 가능합니다. 

[압력이상 센서 기능] 
현장에서  양수기모터 이상이있을경우 압력감지기가 작동하여 알려줍니다. 

[원격제어기능] 
자동개폐기및 커튼 원격제어 
여름에 원격으로 커튼을 반만 열어서 그늘지게 해서 온도를 낮출수도 있습니다. 
환풍기, 열풍기, 전기온풍기 연결가능",클라우드,-,-,-,-,-,-,-,-
27,시설원예,(주)경농,대한민국,환경제어기,환경제어기,KN-SI-CI-001,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"외부/내부 환경센서 정보를 계측하여 온실의 내부, 외부 환경 모니터링 및 온실 장비를 설정값에 따라 복합 제어한다.",농가PC,-,-,-,-,-,-,-,-
28,"시설원예, 축산",케이디솔루션(주),대한민국,환경제어기,환경제어기,KDS-700YFC,O,O,O,O,O,O,O,O,O,O,X,인증,해당없음,제10-2112457호,"축사의 전기설비를 안전하게 예방 및 보호할 수 있는 장비로써 낙뢰(간접뢰), 과전압, 과부하(열감지), 저전압, 합선정전, 화재(열,연기)감지, 누전감지, 상별전압, SPD고장, 낙뢰데이터 수집, 저온창고 온도관리등을 5명의 관리자에게 전화문자를 발송하여 문제발생시 신속한 대처가 가능하여 설비보호 및 대처가 가능합니다.",자체서버,-,-,-,-,-,-,-,-
29,시설원예,제트텍,한국,환경제어기,환경제어기,ZFARM,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,제트팜은 제트텍에서 만든 스마트팜 전용앱으로써 시설원예 생산활동에 도움을 주는 앱입니다.,자체서버,-,-,-,-,-,-,-,-
30,시설원예,주식회사 수경팜스,한국,환경제어기,환경제어기,SKDA-2000,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1. 수동제어
- 컨트롤박스에서 사용자가 시설의 개폐기를 조작할 수 있음(AC/DC 개폐모터 및 유동팬/환풍기, 관수모터/전자밸브)
2. 자동제어
- 사용자가 사전에 지정해 둔 설정값을 기초로 각종 센서와 타이머를 통한 시설의 개폐기 및 기기들을 자동을 통제함
- 우적센서, 온도센서, 타이머 설치가 필요함
3. 원격제어
- 사용자가 원격지에서 스마트폰에 접속(전용어플 접속)하여 온실의 상황을 실시간으로 모니터링 할 수 있음
- 전용어플을 통한 시설의 개폐기 및 기기들을 직접 통제가능함
- 별도 온도센서와 CCTV를 설치하고 있음",클라우드,-,-,-,-,-,-,-,-
31,"시설원예, 축산",케이디솔루션(주),대한민국,환경제어기,환경제어기,KDS-050SF,O,O,O,O,O,O,O,O,O,O,X,인증 제외,해당없음,,"낙뢰보호기
전선으로 유입되는 간접뢰나 서지를 방지하여 장비를 보호",기타,-,-,-,-,-,-,-,-
32,"시설원예, 축산",케이디솔루션(주),대한민국,환경제어기,환경제어기,KDS-20TFD,O,O,O,O,O,O,O,O,O,O,X,인증 제외,해당없음,,"낙뢰보호기 유도뢰, 간접뢰 대응보호 
■ 컨트롤박스, 사료관리기, 자동 급이기, 
   환경관리기 등의 제어(데이타)케이블에 설치",기타,-,-,-,-,-,-,-,-
33,"시설원예, 축산",케이디솔루션(주),대한민국,환경제어기,환경제어기,KDS-100YF,O,O,O,O,O,O,O,O,O,O,X,인증 제외,해당없음,,"낙뢰보호기
전선으로 유입되는 간접뢰나 서지를 방지하여 장비를 보호하는 장치",기타,-,-,-,-,-,-,-,-
34,"시설원예, 축산",한국아이오티주식회사,한국,환경제어기,환경제어기,HK-CONICT-10,O,O,O,O,O,O,O,O,O,O,X,미인증,해당없음,,"농장의 환경정보를 컴퓨터 및 모바일을 통하여 농장주에게 실시간 푸시 메시지로 전달하고 CCTV 영상으로 원격제어 및 모니터링하는 시스템.
   1. 축사, 온실 내부, 외부 센서를 통한 환경관리
   2. 연동형 CCTV시스템을 활용한 모니터링 및 원격제어 시스템
   3. 스마트 팜 App 알림 및 정보를 활용한 농장관리로 생산성 향상",자체서버,-,-,-,-,-,-,-,-
